N,iters,frac,mode,metric,time_ms,bandwidth_GBps
1024,1,0.4,gh_hbm_shared_no_prefetch,Compute E2E (avg per-iter),0.61,
1024,1,0.4,gh_hbm_shared_no_prefetch,Compute E2E (whole loop),2.956,
1024,1,0.4,gh_hbm_shared_no_prefetch,Full    E2E,2.956,
1024,1,0.4,gh_hbm_shared_no_prefetch,CPU read time,0.78,
1024,1,0.4,gh_cpu_shared,WARMUP GPU Kernel (first iter),0.135,
1024,1,0.4,gh_cpu_shared,WARMUP CPU compute (first iter),0.523,
1024,1,0.4,gh_cpu_shared,WARMUP total time,1.192,
1024,1,0.4,gh_cpu_shared,Pre Kernel Costs,0.0,
1024,1,0.4,gh_cpu_shared,GPU Kernel avg,0.037,
1024,1,0.4,gh_cpu_shared,CPU compute,0.508,
1024,1,0.4,gh_cpu_shared,GPU Kernel total,0.037,
1024,1,0.4,gh_cpu_shared,CPU compute total,0.508,
1024,1,0.4,gh_cpu_shared,Compute E2E (avg per-iter),0.552,
1024,1,0.4,gh_cpu_shared,Compute E2E (whole loop),2.419,
1024,1,0.4,gh_cpu_shared,Full    E2E,2.419,
1024,1,0.4,gh_cpu_shared,CPU read time,0.669,
1024,1,0.4,gh_hmm_pageable,WARMUP GPU Kernel (first iter),0.134,
1024,1,0.4,gh_hmm_pageable,WARMUP CPU compute (first iter),0.506,
1024,1,0.4,gh_hmm_pageable,WARMUP total time,125.666,
1024,1,0.4,gh_hmm_pageable,Pre Kernel Costs,0.0,
1024,1,0.4,gh_hmm_pageable,GPU Kernel avg,0.008,
1024,1,0.4,gh_hmm_pageable,CPU compute,1.077,
1024,1,0.4,gh_hmm_pageable,GPU Kernel total,0.008,
1024,1,0.4,gh_hmm_pageable,CPU compute total,1.077,
1024,1,0.4,gh_hmm_pageable,Compute E2E (avg per-iter),1.122,
1024,1,0.4,gh_hmm_pageable,Compute E2E (whole loop),127.595,
1024,1,0.4,gh_hmm_pageable,Full    E2E,127.595,
1024,1,0.4,gh_hmm_pageable,CPU read time,0.802,
1024,1,0.4,gh_hmm_pageable_cuda_init,WARMUP GPU Kernel (first iter),0.026,
1024,1,0.4,gh_hmm_pageable_cuda_init,WARMUP CPU compute (first iter),1.595,
1024,1,0.4,gh_hmm_pageable_cuda_init,WARMUP total time,2.635,
1024,1,0.4,gh_hmm_pageable_cuda_init,Pre Kernel Costs,0.0,
1024,1,0.4,gh_hmm_pageable_cuda_init,GPU Kernel avg,0.008,
1024,1,0.4,gh_hmm_pageable_cuda_init,CPU compute,0.588,
1024,1,0.4,gh_hmm_pageable_cuda_init,GPU Kernel total,0.008,
1024,1,0.4,gh_hmm_pageable_cuda_init,CPU compute total,0.588,
1024,1,0.4,gh_hmm_pageable_cuda_init,Compute E2E (avg per-iter),0.635,
1024,1,0.4,gh_hmm_pageable_cuda_init,Compute E2E (whole loop),4.097,
1024,1,0.4,gh_hmm_pageable_cuda_init,Full    E2E,4.097,
1024,1,0.4,gh_hmm_pageable_cuda_init,CPU read time,0.823,
1024,1,0.5,explicit,WARMUP GPU Kernel (first iter),0.075,
1024,1,0.5,explicit,WARMUP CPU compute (first iter),0.989,
1024,1,0.5,explicit,WARMUP total time,1.941,
1024,1,0.5,explicit,Pre Kernel Costs,0.087,
1024,1,0.5,explicit,H2D once,0.086,
1024,1,0.5,explicit,D2H avg per-iter,0.022,
1024,1,0.5,explicit,GPU Kernel avg,0.007,
1024,1,0.5,explicit,CPU compute,0.634,
1024,1,0.5,explicit,GPU Kernel total,0.007,
1024,1,0.5,explicit,CPU compute total,0.634,
1024,1,0.5,explicit,Compute E2E (avg per-iter),0.705,
1024,1,0.5,explicit,Compute E2E (whole loop),3.314,
1024,1,0.5,explicit,Full    E2E,3.401,
1024,1,0.5,explicit,CPU read time,0.663,
1024,1,0.5,um_migrate,WARMUP GPU Kernel (first iter),0.151,
1024,1,0.5,um_migrate,WARMUP CPU compute (first iter),1.849,
1024,1,0.5,um_migrate,WARMUP total time,4.142,
1024,1,0.5,um_migrate,Pre Kernel Costs,1.526,
1024,1,0.5,um_migrate,UM prefetch-to-GPU,1.525,
1024,1,0.5,um_migrate,UM prefetch-to-CPU (post),0.082,
1024,1,0.5,um_migrate,GPU Kernel avg,3.648,
1024,1,0.5,um_migrate,CPU compute,4.81,
1024,1,0.5,um_migrate,GPU Kernel total,3.648,
