section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,8192,5,0.3,gh_hbm_shared_no_prefetch,0.793,1354.52
HYBRID SWEEP,8192,5,0.3,gh_cpu_shared,20.38,52.69
HYBRID SWEEP,8192,5,0.3,gh_hmm_pageable,19.945,53.84
HYBRID SWEEP,8192,5,0.3,gh_hmm_pageable_cuda_init,0.867,1238.7
HYBRID SWEEP,8192,5,0.4,um_migrate,27.148,39.55
HYBRID SWEEP,8192,5,0.4,um_migrate_no_prefetch,24.015,44.71
HYBRID SWEEP,8192,5,0.4,gh_hbm_shared,0.692,1552.5
HYBRID SWEEP,8192,5,0.4,gh_hbm_shared_no_prefetch,0.686,1565.01
HYBRID SWEEP,8192,5,0.4,gh_cpu_shared,17.486,61.41
HYBRID SWEEP,8192,5,0.4,gh_hmm_pageable,17.032,63.04
HYBRID SWEEP,8192,5,0.4,gh_hmm_pageable_cuda_init,0.732,1466.6
HYBRID SWEEP,8192,5,0.5,um_migrate,23.457,45.77
HYBRID SWEEP,8192,5,0.5,um_migrate_no_prefetch,23.402,45.88
HYBRID SWEEP,8192,5,0.5,gh_hbm_shared,0.556,1929.46
HYBRID SWEEP,8192,5,0.5,gh_hbm_shared_no_prefetch,0.575,1865.84
HYBRID SWEEP,8192,5,0.5,gh_cpu_shared,14.816,72.47
HYBRID SWEEP,8192,5,0.5,gh_hmm_pageable,14.073,76.3
HYBRID SWEEP,8192,5,0.5,gh_hmm_pageable_cuda_init,0.634,1694.65
HYBRID SWEEP,8192,5,0.7,um_migrate,28.431,37.77
HYBRID SWEEP,8192,5,0.7,um_migrate_no_prefetch,27.6,38.9
HYBRID SWEEP,8192,5,0.7,gh_hbm_shared,0.356,3013.26
HYBRID SWEEP,8192,5,0.7,gh_hbm_shared_no_prefetch,0.365,2942.29
HYBRID SWEEP,8192,5,0.7,gh_cpu_shared,8.552,125.56
HYBRID SWEEP,8192,5,0.7,gh_hmm_pageable,9.326,115.13
HYBRID SWEEP,8192,5,0.7,gh_hmm_pageable_cuda_init,0.401,2679.25
HYBRID SWEEP,8192,5,0.8,um_migrate,28.215,38.06
HYBRID SWEEP,8192,5,0.8,um_migrate_no_prefetch,27.467,39.09
HYBRID SWEEP,8192,5,0.8,gh_hbm_shared,0.255,4213.79
HYBRID SWEEP,8192,5,0.8,gh_hbm_shared_no_prefetch,0.255,4204.39
HYBRID SWEEP,8192,5,0.8,gh_cpu_shared,5.737,187.15
HYBRID SWEEP,8192,5,0.8,gh_hmm_pageable,6.635,161.83
HYBRID SWEEP,8192,5,0.8,gh_hmm_pageable_cuda_init,0.278,3866.97
HYBRID SWEEP,8192,10,0.1,um_migrate,28.84,37.23
HYBRID SWEEP,8192,10,0.1,um_migrate_no_prefetch,25.835,41.56
HYBRID SWEEP,8192,10,0.1,gh_hbm_shared,0.976,1100.45
HYBRID SWEEP,8192,10,0.1,gh_hbm_shared_no_prefetch,0.984,1090.97
HYBRID SWEEP,8192,10,0.1,gh_cpu_shared,24.989,42.97
HYBRID SWEEP,8192,10,0.1,gh_hmm_pageable,24.64,43.58
HYBRID SWEEP,8192,10,0.1,gh_hmm_pageable_cuda_init,1.094,981.9
HYBRID SWEEP,8192,10,0.2,um_migrate,30.0,35.79
HYBRID SWEEP,8192,10,0.2,um_migrate_no_prefetch,26.734,40.16
HYBRID SWEEP,8192,10,0.2,gh_hbm_shared,0.886,1212.42
HYBRID SWEEP,8192,10,0.2,gh_hbm_shared_no_prefetch,0.894,1200.89
HYBRID SWEEP,8192,10,0.2,gh_cpu_shared,22.78,47.14
HYBRID SWEEP,8192,10,0.2,gh_hmm_pageable,22.376,47.99
HYBRID SWEEP,8192,10,0.2,gh_hmm_pageable_cuda_init,0.974,1101.92
HYBRID SWEEP,8192,10,0.3,um_migrate,27.789,38.64
HYBRID SWEEP,8192,10,0.3,um_migrate_no_prefetch,25.547,42.03
HYBRID SWEEP,8192,10,0.3,gh_hbm_shared,0.778,1379.81
HYBRID SWEEP,8192,10,0.3,gh_hbm_shared_no_prefetch,0.773,1388.86
HYBRID SWEEP,8192,10,0.3,gh_cpu_shared,19.962,53.79
HYBRID SWEEP,8192,10,0.3,gh_hmm_pageable,19.44,55.23
HYBRID SWEEP,8192,10,0.3,gh_hmm_pageable_cuda_init,0.865,1241.33
HYBRID SWEEP,8192,10,0.4,um_migrate,27.775,38.66
HYBRID SWEEP,8192,10,0.4,um_migrate_no_prefetch,26.433,40.62
HYBRID SWEEP,8192,10,0.4,gh_hbm_shared,0.666,1611.61
HYBRID SWEEP,8192,10,0.4,gh_hbm_shared_no_prefetch,0.676,1589.5
HYBRID SWEEP,8192,10,0.4,gh_cpu_shared,16.858,63.69
HYBRID SWEEP,8192,10,0.4,gh_hmm_pageable,16.808,63.88
HYBRID SWEEP,8192,10,0.4,gh_hmm_pageable_cuda_init,0.717,1496.89
HYBRID SWEEP,8192,10,0.5,um_migrate,23.988,44.76
HYBRID SWEEP,8192,10,0.5,um_migrate_no_prefetch,23.717,45.27
HYBRID SWEEP,8192,10,0.5,gh_hbm_shared,0.562,1909.08
HYBRID SWEEP,8192,10,0.5,gh_hbm_shared_no_prefetch,0.562,1909.09
HYBRID SWEEP,8192,10,0.5,gh_cpu_shared,14.902,72.05
HYBRID SWEEP,8192,10,0.5,gh_hmm_pageable,14.192,75.66
HYBRID SWEEP,8192,10,0.5,gh_hmm_pageable_cuda_init,0.618,1736.36
HYBRID SWEEP,8192,10,0.7,um_migrate,28.714,37.39
HYBRID SWEEP,8192,10,0.7,um_migrate_no_prefetch,27.683,38.79
HYBRID SWEEP,8192,10,0.7,gh_hbm_shared,0.356,3018.03
HYBRID SWEEP,8192,10,0.7,gh_hbm_shared_no_prefetch,0.354,3036.41
HYBRID SWEEP,8192,10,0.7,gh_cpu_shared,8.311,129.19
HYBRID SWEEP,8192,10,0.7,gh_hmm_pageable,8.646,124.19
HYBRID SWEEP,8192,10,0.7,gh_hmm_pageable_cuda_init,0.388,2767.03
HYBRID SWEEP,8192,10,0.8,um_migrate,28.529,37.64
HYBRID SWEEP,8192,10,0.8,um_migrate_no_prefetch,31.648,33.93
HYBRID SWEEP,8192,10,0.8,gh_hbm_shared,0.247,4355.8
HYBRID SWEEP,8192,10,0.8,gh_hbm_shared_no_prefetch,0.249,4314.24
HYBRID SWEEP,8192,10,0.8,gh_cpu_shared,5.856,183.36
HYBRID SWEEP,8192,10,0.8,gh_hmm_pageable,6.476,165.81
HYBRID SWEEP,8192,10,0.8,gh_hmm_pageable_cuda_init,0.266,4042.17
