STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
um_migrate_no_prefetch 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           12.745        0.034         12.779       
um_migrate_no_prefetch 2048     1     10      10     72       --         --           --         --           6.534      --         0.238      --           22.331        9.715         32.046       
um_migrate_no_prefetch 2048     1     10      25     72       --         --           --         --           5.475      --         0.244      --           18.582        8.189         26.771       
um_migrate_no_prefetch 2048     1     10      30     72       --         --           --         --           5.633      --         0.208      --           17.477        8.132         25.609       
um_migrate_no_prefetch 2048     1     10      50     72       --         --           --         --           3.963      --         0.262      --           12.524        5.861         18.385       
um_migrate_no_prefetch 2048     1     10      70     72       --         --           --         --           2.122      --         0.303      --           7.239         3.242         10.481       
um_migrate_no_prefetch 2048     1     10      80     72       --         --           --         --           1.998      --         0.276      --           6.607         2.804         9.411        
gh_hbm_shared_no_prefetch 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           0.904         0.034         0.938        
gh_hbm_shared_no_prefetch 2048     1     10      10     72       --         --           --         --           0.027      --         0.062      --           1.849         0.234         2.083        
gh_hbm_shared_no_prefetch 2048     1     10      25     72       --         --           --         --           0.022      --         0.055      --           1.839         0.203         2.042        
gh_hbm_shared_no_prefetch 2048     1     10      30     72       --         --           --         --           0.021      --         0.093      --           1.795         0.232         2.027        
gh_hbm_shared_no_prefetch 2048     1     10      50     72       --         --           --         --           0.017      --         0.054      --           1.807         0.173         1.980        
gh_hbm_shared_no_prefetch 2048     1     10      70     72       --         --           --         --           0.016      --         0.076      --           1.779         0.174         1.953        
gh_hbm_shared_no_prefetch 2048     1     10      80     72       --         --           --         --           0.017      --         0.038      --           1.801         0.121         1.922        
----------------------------------------------------------------------------------------------------------------
explicit               2048     2     10      0      72       0.206      --           0.169      --           0.052      --         0.000      --           0.227         0.067         0.669        
explicit               2048     2     10      10     72       0.207      --           0.121      --           0.048      --         0.089      --           2.612         0.556         5.712        
explicit               2048     2     10      25     72       0.198      --           0.121      --           0.044      --         0.104      --           2.712         0.598         5.523        
explicit               2048     2     10      30     72       0.196      --           0.121      --           0.043      --         0.332      --           2.696         0.840         5.621        
explicit               2048     2     10      50     72       0.205      --           0.121      --           0.034      --         0.150      --           2.865         0.688         5.197        
explicit               2048     2     10      70     72       0.198      --           0.123      --           0.032      --         0.191      --           2.932         0.756         4.836        
explicit               2048     2     10      80     72       0.206      --           0.122      --           0.031      --         0.232      --           2.950         0.820         4.705        
um_migrate             2048     2     10      0      72       --         5.428        --         0.359        0.052      --         0.000      --           0.243         0.066         6.097        
um_migrate             2048     2     10      10     72       --         5.427        --         0.326        13.341     --         0.442      --           39.647        19.602        65.002       
um_migrate             2048     2     10      25     72       --         5.413        --         0.313        10.473     --         0.353      --           32.447        16.020        54.193       
um_migrate             2048     2     10      30     72       --         5.538        --         0.288        10.847     --         0.318      --           33.545        15.845        55.216       
um_migrate             2048     2     10      50     72       --         5.422        --         0.239        7.382      --         0.394      --           24.742        11.094        41.497       
um_migrate             2048     2     10      70     72       --         5.443        --         0.171        4.042      --         0.453      --           15.683        6.501         27.798       
