STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     End2End(ms)   FullE2E(ms)  
gh_hmm_pageable        2048     2     10      80     72       --         --           --         --           0.033      --         0.061      --           0.153         143.935      
gh_hmm_pageable_gpu_init 2048     2     10      0      72       --         --           --         --           0.053      --         0.000      --           0.068         0.414        
gh_hmm_pageable_gpu_init 2048     2     10      10     72       --         --           --         --           0.053      --         0.050      --           0.234         2.306        
gh_hmm_pageable_gpu_init 2048     2     10      25     72       --         --           --         --           0.048      --         0.051      --           0.210         2.025        
gh_hmm_pageable_gpu_init 2048     2     10      30     72       --         --           --         --           0.049      --         0.088      --           0.240         2.091        
gh_hmm_pageable_gpu_init 2048     2     10      50     72       --         --           --         --           0.040      --         0.112      --           0.237         2.166        
gh_hmm_pageable_gpu_init 2048     2     10      70     72       --         --           --         --           0.035      --         0.069      --           0.174         2.059        
gh_hmm_pageable_gpu_init 2048     2     10      80     72       --         --           --         --           0.038      --         0.149      --           0.246         2.258        
um_migrate_no_prefetch 2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           0.067         13.181       
um_migrate_no_prefetch 2048     2     10      10     72       --         --           --         --           13.088     --         0.411      --           19.403        61.257       
um_migrate_no_prefetch 2048     2     10      25     72       --         --           --         --           11.009     --         0.430      --           16.467        50.344       
um_migrate_no_prefetch 2048     2     10      30     72       --         --           --         --           11.061     --         0.330      --           16.052        49.564       
um_migrate_no_prefetch 2048     2     10      50     72       --         --           --         --           7.142      --         0.408      --           10.888        35.427       
um_migrate_no_prefetch 2048     2     10      70     72       --         --           --         --           4.004      --         0.487      --           6.543         20.916       
um_migrate_no_prefetch 2048     2     10      80     72       --         --           --         --           3.876      --         0.462      --           5.468         17.254       
gh_hbm_shared_no_prefetch 2048     2     10      0      72       --         --           --         --           0.052      --         0.000      --           0.067         1.055        
gh_hbm_shared_no_prefetch 2048     2     10      10     72       --         --           --         --           0.049      --         0.087      --           0.422         2.710        
gh_hbm_shared_no_prefetch 2048     2     10      25     72       --         --           --         --           0.044      --         0.110      --           0.404         2.647        
gh_hbm_shared_no_prefetch 2048     2     10      30     72       --         --           --         --           0.041      --         0.099      --           0.378         2.646        
gh_hbm_shared_no_prefetch 2048     2     10      50     72       --         --           --         --           0.033      --         0.120      --           0.353         2.552        
gh_hbm_shared_no_prefetch 2048     2     10      70     72       --         --           --         --           0.032      --         0.089      --           0.277         2.324        
gh_hbm_shared_no_prefetch 2048     2     10      80     72       --         --           --         --           0.032      --         0.066      --           0.230         2.334        
----------------------------------------------------------------------------------------------------------------
explicit               4096     1     10      0      72       0.494      --           0.487      --           0.089      --         0.000      --           0.096         1.382        
explicit               4096     1     10      10     72       0.496      --           0.473      --           0.086      --         0.049      --           0.170         4.183        
explicit               4096     1     10      25     72       0.611      --           0.528      --           0.079      --         0.073      --           0.179         4.563        
explicit               4096     1     10      30     72       0.491      --           0.531      --           0.077      --         0.098      --           0.200         4.595        
explicit               4096     1     10      50     72       0.497      --           0.579      --           0.068      --         0.184      --           0.296         4.921        
explicit               4096     1     10      70     72       0.497      --           0.569      --           0.061      --         0.395      --           0.518         5.817        
explicit               4096     1     10      80     72       0.506      --           0.557      --           0.054      --         0.477      --           0.597         5.724        
um_migrate             4096     1     10      0      72       --         20.788       --         1.236        0.090      --         0.000      --           0.097         22.450       
um_migrate             4096     1     10      10     72       --         20.792       --         1.070        21.199     --         0.207      --           33.482        122.859      
um_migrate             4096     1     10      25     72       --         20.872       --         0.964        17.971     --         0.252      --           28.408        109.874      
um_migrate             4096     1     10      30     72       --         20.837       --         0.863        15.673     --         0.238      --           25.306        103.897      
um_migrate             4096     1     10      50     72       --         20.875       --         0.739        11.965     --         0.301      --           18.969        86.419       
um_migrate             4096     1     10      70     72       --         20.749       --         0.518        7.562      --         0.523      --           11.812        66.699       
um_migrate             4096     1     10      80     72       --         20.773       --         0.402        5.085      --         0.709      --           7.981         55.551       
gh_hbm_shared          4096     1     10      0      72       --         0.682        --         --           0.089      --         0.000      --           0.097         1.178        
gh_hbm_shared          4096     1     10      10     72       --         0.703        --         --           0.090      --         0.091      --           0.471         3.444        
gh_hbm_shared          4096     1     10      25     72       --         0.726        --         --           0.091      --         0.156      --           0.489         3.625        
gh_hbm_shared          4096     1     10      30     72       --         0.700        --         --           0.089      --         0.148      --           0.466         3.604        
gh_hbm_shared          4096     1     10      50     72       --         0.692        --         --           0.134      --         0.358      --           0.629         4.015        
gh_hbm_shared          4096     1     10      70     72       --         0.685        --         --           0.132      --         0.603      --           0.839         4.616        
gh_hbm_shared          4096     1     10      80     72       --         0.703        --         --           0.123      --         0.747      --           0.979         5.072        
gh_cpu_shared          4096     1     10      0      72       --         --           --         --           0.943      --         0.000      --           0.951         3.186        
gh_cpu_shared          4096     1     10      10     72       --         --           --         --           0.861      --         0.138      --           1.033         4.002        
gh_cpu_shared          4096     1     10      25     72       --         --           --         --           0.730      --         0.202      --           0.889         3.692        
gh_cpu_shared          4096     1     10      30     72       --         --           --         --           0.687      --         0.237      --           0.844         3.555        
gh_cpu_shared          4096     1     10      50     72       --         --           --         --           0.549      --         0.365      --           0.689         3.309        
gh_cpu_shared          4096     1     10      70     72       --         --           --         --           0.572      --         0.637      --           0.768         3.673        
gh_cpu_shared          4096     1     10      80     72       --         --           --         --           0.480      --         0.702      --           0.831         3.921        
