STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_hbm_shared_no_prefetch 2048     2     10      30     72       --         --           --         --           0.042      --         0.098      --           2.260         0.378         2.637        
gh_hbm_shared_no_prefetch 2048     2     10      50     72       --         --           --         --           0.033      --         0.104      --           2.193         0.336         2.529        
gh_hbm_shared_no_prefetch 2048     2     10      70     72       --         --           --         --           0.034      --         0.119      --           2.104         0.310         2.414        
gh_hbm_shared_no_prefetch 2048     2     10      80     72       --         --           --         --           0.032      --         0.093      --           2.072         0.258         2.329        
----------------------------------------------------------------------------------------------------------------
explicit               4096     1     10      0      72       0.616      --           0.466      --           0.089      --         0.000      --           0.311         0.097         1.489        
explicit               4096     1     10      10     72       0.609      --           0.474      --           0.085      --         0.049      --           3.036         0.171         4.290        
explicit               4096     1     10      25     72       0.613      --           0.524      --           0.079      --         0.073      --           3.246         0.181         4.564        
explicit               4096     1     10      30     72       0.491      --           0.537      --           0.076      --         0.099      --           3.441         0.200         4.669        
explicit               4096     1     10      50     72       0.488      --           0.575      --           0.068      --         0.187      --           3.665         0.297         5.025        
explicit               4096     1     10      70     72       0.637      --           0.552      --           0.060      --         0.375      --           3.862         0.495         5.545        
explicit               4096     1     10      80     72       0.667      --           0.556      --           0.055      --         0.471      --           4.001         0.592         5.816        
um_migrate             4096     1     10      0      72       --         20.782       --         1.256        0.089      --         0.000      --           0.324         0.096         22.458       
um_migrate             4096     1     10      10     72       --         20.762       --         1.108        20.572     --         0.199      --           69.342        32.944        124.157      
